game,winning_player,player0,player1,player2,player3
0,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
1,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
2,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
3,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
4,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
5,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
6,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
7,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
8,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
9,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
10,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
11,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
12,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
13,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
14,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
15,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
16,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
17,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
18,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
19,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
20,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
21,3,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
22,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
23,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
24,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
25,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
26,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
27,3,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
28,3,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
29,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
30,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
31,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
32,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
33,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
34,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
35,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
36,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
37,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
38,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
39,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
40,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
41,3,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
42,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
43,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
44,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
45,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
46,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
47,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
48,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
49,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
50,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
51,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
52,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
53,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
54,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
55,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
56,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
57,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
58,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
59,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
60,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
61,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
62,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
63,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
64,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
65,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
66,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
67,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
68,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
69,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
70,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
71,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
72,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
73,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
74,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
75,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
76,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
77,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
78,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
79,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
80,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
81,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
82,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
83,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
84,3,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
85,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
86,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
87,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
88,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
89,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
90,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
91,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
92,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
93,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
94,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
95,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
96,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
97,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
98,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
99,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
100,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
101,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
102,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
103,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
104,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
105,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
106,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
107,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
108,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
109,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
110,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
111,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
112,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
113,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
114,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
115,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
116,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
117,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
118,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
119,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
120,3,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
121,0,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
122,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
123,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
124,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
125,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
126,,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
127,2,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
128,1,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
129,3,MCTS,HANDSCORE,HANDSCORE,HANDSCORE
